"Surface Carrez du 1er lot","Surface Carrez du 2eme lot","Surface Carrez du 3eme lot","Surface Carrez du 4eme lot","Surface Carrez du 5eme lot","Nombre de lots","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"35,51",,,,,1,"Appartement",35,2,,,
"52,24",,,,,2,"Appartement",45,2,,,
"14,33",,,,,1,"Appartement",16,1,,,
"49,21",,,,,1,"Appartement",51,2,,,
"39,2",,,,,1,"Appartement",40,3,,,
"30,34",,,,,1,"Appartement",31,1,,,
"28,32",,,,,1,"Appartement",28,1,,,
"99,04",,,,,2,"Appartement",98,4,,,
"30,2",,,,,1,"Appartement",95,3,,,
"80,25",,,,,1,"Appartement",82,3,,,
"72,25",,,,,2,"Appartement",72,4,,,
"19,23",,,,,1,"Appartement",19,1,,,
"56,45",,,,,1,"Appartement",58,2,,,
"18,02",,,,,1,"Appartement",18,1,,,
"32,83",,,,,2,"Appartement",33,2,,,
"48,23",,,,,1,"Appartement",46,2,,,
"34,04",,,,,1,"Appartement",33,1,,,
"36,26",,,,,1,"Appartement",36,2,,,
69,,,,,1,"Appartement",36,3,,,
"45,5",,,,,1,"Appartement",41,2,,,
"13,69",,,,,1,"Appartement",15,1,,,
"68,75",,,,,2,"Appartement",68,3,,,
"34,31",,,,,3,"Appartement",33,2,,,
"68,35",,,,,1,"Appartement",70,3,,,
