"SurfaceCarrezLot1","SurfaceCarrezLot2","SurfaceCarrezLot3","SurfaceCarrezLot4","SurfaceCarrezLot5","NombreDeLot","SurfaceReelleBati","NombrePiecesPrincipale","SurfaceTerrain","TypeDeLocal","NatureCulture","NatureCultureSpeciale"
30,,,,,1,31,1,,"Appartement",,
24.89,,,,,1,25,2,,"Appartement",,
45.22,,,,,1,38,3,,"Appartement",,
22.92,,,,,1,23,1,,"Appartement",,
11.43,,,,,1,15,1,,"Appartement",,
16.81,,,,,1,18,1,,"Appartement",,
68.19,,,,,2,66,4,,"Appartement",,
59.5,,,,,2,63,3,,"Appartement",,
28.4,,,,,1,20,2,,"Appartement",,
18.26,,,,,1,20,1,,"Appartement",,
28.9,,,,,1,63,3,,"Maison",,
25.9,,,,,1,25,1,,"Appartement",,
30,,,,,1,28,1,,"Appartement",,
29.85,,,,,1,29,1,,"Appartement",,
21.71,,,,,1,32,2,,"Maison",,
69.7,,,,,1,66,4,,"Appartement",,
60.28,,,,,1,62,3,,"Appartement",,
75.3,,,,,2,75,3,,"Appartement",,
26.09,,,,,1,26,1,,"Appartement",,
64.96,,,,,2,46,2,,"Appartement",,
17.6,,,,,1,17,1,,"Appartement",,
119.9,,,,,1,121,4,506,"Maison","S",
36.24,,,,,1,38,2,,"Appartement",,
25.35,,,,,1,25,1,,"Appartement",,
99.22,,,,,1,100,4,,"Appartement",,
28,,,,,1,28,1,,"Appartement",,
27.45,,,,,1,25,1,,"Appartement",,
245.13,,,,,1,248,8,865,"Maison","S",
56.04,,,,,1,40,2,,"Appartement",,
50.05,,,,,1,54,2,,"Appartement",,
20.5,,,,,1,20,1,,"Maison",,
25.4,,,,,3,110,4,,"Maison",,
130.2,,,,,1,114,5,,"Appartement",,
17.14,,,,,1,17,1,,"Appartement",,
56.19,,,,,1,58,3,,"Appartement",,
50.04,,,,,1,49,2,,"Maison",,
37.71,,,,,1,39,1,,"Appartement",,
119.4,,,,,1,116,5,,"Appartement",,
67.58,,,,,1,68,4,,"Appartement",,
46.78,,,,,1,46,2,,"Appartement",,
19.15,,,,,1,22,1,,"Appartement",,
23.69,,,,,1,22,1,,"Appartement",,
17.34,,,,,1,17,1,,"Appartement",,
56.2,,,,,1,65,4,,"Appartement",,
59.6,,,,,1,63,4,,"Appartement",,
44.71,,,,,2,43,2,,"Appartement",,
62.38,,,,,2,70,3,,"Appartement",,
49.61,,,,,2,52,3,,"Appartement",,
55.76,,,,,2,35,1,,"Appartement",,
80.48,,,,,1,47,4,285,"Maison","S",
26.52,,,,,1,26,1,,"Appartement",,
29.33,,,,,1,29,1,,"Appartement",,
45.08,,,,,1,38,2,,"Appartement",,
72.72,,,,,2,82,6,,"Appartement",,
35.18,,,,,1,35,2,,"Appartement",,
25.61,,,,,1,29,2,,"Appartement",,
32,,,,,1,32,2,,"Appartement",,
69.45,,,,,2,65,3,,"Appartement",,
78.84,,,,,2,78,4,,"Appartement",,
37.09,,,,,1,40,2,,"Appartement",,
65.39,,,,,1,85,3,,"Appartement",,
47.48,,,,,1,61,2,,"Appartement",,
26.1,,,,,1,25,1,,"Appartement",,
40.92,,,,,1,40,1,,"Appartement",,
26,,,,,1,24,1,,"Appartement",,
67,,,,,2,66,4,,"Appartement",,
56.5,,,,,2,63,3,,"Appartement",,
38.5,,,,,1,39,2,,"Appartement",,
42.7,,,,,1,40,2,,"Appartement",,
16.7,,,,,1,17,1,,"Appartement",,
0.4,,,,,3,26,1,,"Appartement",,
59.66,,,,,1,69,3,,"Maison",,
21.2,,,,,1,21,1,,"Appartement",,
43.36,,,,,2,45,2,,"Appartement",,
56.81,,,,,1,56,3,,"Appartement",,
43.33,,,,,1,43,3,,"Appartement",,
32.8,,,,,2,32,2,,"Appartement",,
15.42,,,,,1,14,1,,"Appartement",,
24.64,,,,,1,24,1,,"Appartement",,
28.5,,,,,1,30,2,,"Appartement",,
66.45,,,,,1,66,2,,"Appartement",,
59.9,,,,,1,61,3,,"Appartement",,
54.99,,,,,2,63,3,,"Appartement",,
18.04,,,,,1,16,1,,"Appartement",,
28.56,,,,,1,28,1,,"Appartement",,
23.66,,,,,1,25,1,,"Appartement",,
121.56,,,,,2,122,5,,"Appartement",,
30.72,,,,,1,30,2,,"Appartement",,
32.97,,,,,1,33,2,,"Appartement",,
28.61,,,,,2,30,1,,"Appartement",,
30.74,,,,,1,29,2,,"Appartement",,
30.59,,,,,1,31,1,,"Appartement",,
33.5,,,,,1,37,2,,"Appartement",,
30.52,,,,,1,30,2,,"Appartement",,
51.85,,,,,1,50,2,,"Appartement",,
63.2,,,,,2,69,2,,"Appartement",,
23.08,,,,,1,24,3,,"Appartement",,
86.49,,,,,1,70,3,,"Maison",,
36.44,,,,,1,36,2,,"Appartement",,
28.96,,,,,2,30,2,,"Appartement",,
26.42,,,,,1,25,1,,"Appartement",,
49.06,,,,,2,49,2,,"Appartement",,
100.11,,,,,1,100,5,,"Maison",,
89.03,,,,,1,82,4,,"Maison",,
43.44,,,,,2,44,2,,"Appartement",,
119.95,,,,,3,126,4,,"Appartement",,
25.1,,,,,3,62,4,,"Appartement",,
49.55,,,,,1,57,3,,"Appartement",,
26.62,,,,,1,25,1,,"Appartement",,
28.79,,,,,1,28,2,,"Appartement",,
18.63,,,,,1,18,1,,"Appartement",,
14,,,,,1,53,4,,"Appartement",,
16.99,,,,,1,17,1,,"Appartement",,
68.23,,,,,2,66,3,,"Appartement",,
21.48,,,,,2,22,2,,"Appartement",,
16.9,,,,,1,17,1,,"Appartement",,
101.99,,,,,1,100,4,,"Appartement",,
54.25,,,,,1,61,3,,"Appartement",,
26.78,,,,,1,27,1,,"Appartement",,
27.06,,,,,1,27,1,,"Appartement",,
34.97,,,,,1,35,2,,"Appartement",,
18.45,,,,,1,19,1,,"Appartement",,
39.3,,,,,2,39,3,,"Appartement",,
35.51,,,,,1,35,2,,"Appartement",,
52.24,,,,,2,45,2,,"Appartement",,
14.33,,,,,1,16,1,,"Appartement",,
49.21,,,,,1,51,2,,"Appartement",,
39.2,,,,,1,40,3,,"Appartement",,
30.34,,,,,1,31,1,,"Appartement",,
28.32,,,,,1,28,1,,"Appartement",,
99.04,,,,,2,98,4,,"Appartement",,
30.2,,,,,1,95,3,,"Appartement",,
80.25,,,,,1,82,3,,"Appartement",,
72.25,,,,,2,72,4,,"Appartement",,
19.23,,,,,1,19,1,,"Appartement",,
56.45,,,,,1,58,2,,"Appartement",,
18.02,,,,,1,18,1,,"Appartement",,
32.83,,,,,2,33,2,,"Appartement",,
48.23,,,,,1,46,2,,"Appartement",,
34.04,,,,,1,33,1,,"Appartement",,
36.26,,,,,1,36,2,,"Appartement",,
69,,,,,1,36,3,,"Appartement",,
45.5,,,,,1,41,2,,"Appartement",,
13.69,,,,,1,15,1,,"Appartement",,
68.75,,,,,2,68,3,,"Appartement",,
34.31,,,,,3,33,2,,"Appartement",,
68.35,,,,,1,70,3,,"Appartement",,
114.78,,,,,3,111,4,,"Appartement",,
30.76,,,,,1,22,1,,"Appartement",,
78.45,,,,,2,80,4,,"Appartement",,
64.25,,,,,1,62,2,,"Appartement",,
118.14,,,,,1,113,5,,"Appartement",,
133.44,,,,,2,144,4,,"Appartement",,
96,,,,,2,130,4,,"Appartement",,
28.32,,,,,1,28,1,,"Appartement",,
93.6,,,,,1,95,3,,"Appartement",,
79.48,,,,,2,76,2,,"Appartement",,
19.88,,,,,1,20,1,,"Appartement",,
43.48,,,,,2,42,1,,"Appartement",,
90.1,,,,,2,91,3,,"Appartement",,
19.11,,,,,1,20,1,,"Appartement",,
24.92,,,,,1,33,2,,"Appartement",,
16.54,,,,,1,16,1,,"Appartement",,
172.21,,,,,1,158,5,,"Appartement",,
36.11,,,,,1,34,1,,"Appartement",,
46.34,,,,,1,46,3,,"Appartement",,
17.05,,,,,1,17,1,,"Appartement",,
131.09,,,,,2,127,4,,"Appartement",,
53.84,,,,,1,55,3,,"Appartement",,
