Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","108","Ceréales nda","2019","2019","tonnes","18130","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","56","Maïs","2019","2019","tonnes","429220","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","44","Orge","2019","2019","tonnes","401060","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","27","Riz, paddy","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","71","Seigle","2019","2019","tonnes","3360","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","255","Belgique","5510","Production","97","Triticale","2019","2019","tonnes","40070","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","23","Belize","5510","Production","56","Maïs","2019","2019","tonnes","58049","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","23","Belize","5510","Production","27","Riz, paddy","2019","2019","tonnes","13900","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","23","Belize","5510","Production","83","Sorgho","2019","2019","tonnes","13165","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5510","Production","94","Fonio","2019","2019","tonnes","3806","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5510","Production","56","Maïs","2019","2019","tonnes","1580750","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5510","Production","79","Mils","2019","2019","tonnes","25000","*","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5510","Production","27","Riz, paddy","2019","2019","tonnes","406000","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","53","Bénin","5510","Production","83","Sorgho","2019","2019","tonnes","160000","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","75","Avoine","2019","2019","tonnes","22204","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","15","Blé","2019","2019","tonnes","237127","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","108","Ceréales nda","2019","2019","tonnes","795","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","56","Maïs","2019","2019","tonnes","987503","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","44","Orge","2019","2019","tonnes","47951","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","92","Quinoa","2019","2019","tonnes","67135","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","27","Riz, paddy","2019","2019","tonnes","600044","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","71","Seigle","2019","2019","tonnes","286","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","19","Bolivie (État plurinational de)","5510","Production","83","Sorgho","2019","2019","tonnes","949039","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","75","Avoine","2019","2019","tonnes","27231","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","15","Blé","2019","2019","tonnes","264769","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","108","Ceréales nda","2019","2019","tonnes","0","M","Donnée non disponible"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","56","Maïs","2019","2019","tonnes","1235596","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","44","Orge","2019","2019","tonnes","74462","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","89","Sarrasin, blé noir","2019","2019","tonnes","742","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","71","Seigle","2019","2019","tonnes","10449","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","80","Bosnie-Herzégovine","5510","Production","97","Triticale","2019","2019","tonnes","52943","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","20","Botswana","5510","Production","15","Blé","2019","2019","tonnes","377","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","20","Botswana","5510","Production","108","Ceréales nda","2019","2019","tonnes","4440","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","20","Botswana","5510","Production","56","Maïs","2019","2019","tonnes","7278","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","20","Botswana","5510","Production","79","Mils","2019","2019","tonnes","902","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","20","Botswana","5510","Production","83","Sorgho","2019","2019","tonnes","35961","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","75","Avoine","2019","2019","tonnes","920439","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","15","Blé","2019","2019","tonnes","5604158","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","56","Maïs","2019","2019","tonnes","101138617","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","44","Orge","2019","2019","tonnes","409099","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","27","Riz, paddy","2019","2019","tonnes","10368611","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","89","Sarrasin, blé noir","2019","2019","tonnes","65255","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","71","Seigle","2019","2019","tonnes","10320","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","83","Sorgho","2019","2019","tonnes","2672245","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","21","Brésil","5510","Production","97","Triticale","2019","2019","tonnes","34069","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","75","Avoine","2019","2019","tonnes","31510","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","15","Blé","2019","2019","tonnes","6319630","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","103","Céréales mélangées","2019","2019","tonnes","0","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","108","Ceréales nda","2019","2019","tonnes","6410","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","56","Maïs","2019","2019","tonnes","4059790","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","44","Orge","2019","2019","tonnes","563150","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","27","Riz, paddy","2019","2019","tonnes","70920","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","71","Seigle","2019","2019","tonnes","12180","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","83","Sorgho","2019","2019","tonnes","23220","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","27","Bulgarie","5510","Production","97","Triticale","2019","2019","tonnes","44180","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","233","Burkina Faso","5510","Production","94","Fonio","2019","2019","tonnes","10238","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","233","Burkina Faso","5510","Production","56","Maïs","2019","2019","tonnes","1710898","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","233","Burkina Faso","5510","Production","79","Mils","2019","2019","tonnes","970176","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","233","Burkina Faso","5510","Production","27","Riz, paddy","2019","2019","tonnes","376527","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","233","Burkina Faso","5510","Production","83","Sorgho","2019","2019","tonnes","1871791","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","29","Burundi","5510","Production","15","Blé","2019","2019","tonnes","4894","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","29","Burundi","5510","Production","108","Ceréales nda","2019","2019","tonnes","11000","*","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU)","29","Burundi","5510","Production","56","Maïs","2019","2019","tonnes","270813","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","29","Burundi","5510","Production","79","Mils","2019","2019","tonnes","10043","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","29","Burundi","5510","Production","27","Riz, paddy","2019","2019","tonnes","241211","","Donnée officielle"
